user_id,recommended_movie_1,recommended_movie_2,recommended_movie_3,recommended_movie_4,recommended_movie_5,recommended_movie_6,recommended_movie_7,recommended_movie_8,recommended_movie_9,recommended_movie_10
81,278,249,922,303,123,325,259,328,237,763
399,307,332,331,628,939,871,327,305,1063,230
890,83,261,156,651,48,190,207,199,213,178
385,813,673,847,995,251,863,329,347,464,823
751,900,315,754,218,157,651,1149,433,207,326
34,674,754,326,879,315,313,347,321,333,895
194,116,949,664,487,70,428,679,153,707,198
325,48,306,674,331,615,522,1483,657,530,520
414,674,754,315,326,750,271,347,333,304,879
730,288,538,476,340,327,302,258,628,405,286
560,305,724,262,880,887,1022,270,902,189,464
886,476,109,840,1245,924,409,250,823,463,141
355,879,674,322,343,754,329,876,347,1025,321
606,331,447,332,295,338,1012,245,380,147,448
595,538,895,682,321,292,990,304,322,303,334
478,249,679,17,303,21,408,304,1210,690,854
489,674,324,299,350,329,260,754,262,887,333
672,538,934,126,288,937,1025,1012,245,343,294
402,274,1,283,275,281,744,740,117,276,713
830,306,214,449,259,699,95,168,584,724,523
739,259,748,892,740,270,241,289,449,303,306
392,292,1014,754,13,137,334,509,315,844,949
907,455,338,823,273,742,845,24,147,323,939
648,307,310,332,331,259,1063,924,305,993,270
29,305,316,242,346,896,297,331,13,661,319
166,924,109,307,343,813,1007,340,302,288,874
591,1098,707,487,192,664,521,498,23,482,518
585,880,724,872,936,1170,949,745,718,189,1022
530,763,820,281,455,421,756,866,742,33,521
106,949,900,292,718,190,116,1451,311,428,642
231,288,327,538,302,25,305,255,340,286,323
665,471,281,25,121,340,343,294,458,405,257
473,331,896,327,295,297,307,306,242,221,396
170,937,990,538,866,763,975,321,535,294,1025
679,924,823,255,476,303,24,25,126,107,250
526,303,538,292,286,304,682,268,328,294,111
684,900,554,690,403,51,304,1039,102,225,156
598,326,303,304,315,749,294,245,754,937,328
609,538,321,937,292,294,288,334,1152,326,303
712,749,1134,831,304,754,900,280,895,315,245
372,1059,109,340,264,331,813,411,924,1047,1118
333,306,554,892,379,259,310,633,294,302,879
615,249,45,408,679,1098,223,98,181,1,655
546,458,27,975,984,674,343,363,307,895,1118
704,306,319,311,310,331,1451,498,292,1014,528
179,331,307,321,343,674,327,887,242,346,323
285,880,302,1,259,286,19,319,305,515,127
71,949,116,642,718,744,713,19,70,630,126
291,596,1401,278,281,553,559,595,1048,280,934
880,844,845,670,322,941,879,477,338,589,310
226,924,319,1007,107,311,305,302,136,724,255
140,358,333,288,895,328,538,748,294,326,937
652,303,292,294,690,286,990,237,116,117,111
873,288,268,302,269,286,347,333,258,319,340
101,307,323,302,343,327,748,476,276,294,298
238,924,126,934,25,1007,255,476,302,288,1
52,476,303,288,181,276,249,7,538,325,1012
763,1170,487,707,740,303,445,116,57,241,936
298,310,306,259,892,270,307,379,498,614,241
872,343,458,307,245,323,322,338,678,984,332
302,879,302,748,299,288,874,333,268,310,313
254,879,379,820,827,386,260,932,614,756,45
748,924,214,1,191,98,455,168,28,205,45
338,311,949,642,107,14,1451,319,1101,292,214
541,748,379,554,94,156,550,470,385,239,746
367,975,225,322,409,338,679,358,118,895,291
582,331,327,307,1059,346,538,305,887,301,340
455,259,306,713,310,284,289,866,323,740,922
282,347,292,340,754,313,311,682,331,268,346
600,214,189,156,423,391,605,168,101,265,393
314,846,713,1033,370,459,281,620,744,1401,106
465,261,879,45,644,178,673,520,299,496,518
860,724,136,189,268,900,303,107,169,255,127
112,304,271,682,268,292,326,674,690,895,270
432,322,338,682,879,333,895,823,323,328,1016
698,306,343,681,245,340,1050,331,492,522,604
19,302,879,1007,285,100,288,286,313,318,1014
377,304,754,326,111,288,315,690,303,292,340
659,152,522,306,265,605,71,900,428,549,393
59,10,295,277,629,273,469,1012,26,844,961
495,420,17,975,413,241,679,23,612,92,849
637,259,922,823,924,455,847,255,748,410,25
43,949,487,607,713,303,421,554,744,690,292
216,249,679,410,1073,325,26,171,823,847,408
309,754,292,538,898,308,872,268,906,264,682
941,924,823,847,288,255,301,813,268,302,286
124,932,261,748,999,299,843,1459,156,409,118
153,302,1,288,100,748,181,294,276,286,515
876,513,525,932,681,166,521,285,1007,518,357
442,455,250,748,1135,259,993,1,740,823,924
184,10,295,13,522,1007,961,663,673,525,727
557,975,322,879,1048,679,674,129,321,26,1014
913,487,137,285,116,26,664,1009,1014,249,1073
90,844,673,589,770,980,492,631,941,879,466
481,525,371,493,513,519,165,1101,642,8,510
627,261,409,924,156,665,561,45,299,141,496
204,319,311,286,288,268,269,1007,813,100,347
729,260,892,879,358,849,674,937,249,359,328
10,507,26,433,844,975,92,295,516,763,612
790,245,343,306,458,294,340,405,315,866,713
577,554,281,343,51,846,576,471,924,459,257
812,340,343,307,458,538,321,109,323,331,264
435,673,436,225,425,156,340,813,561,589,825
737,259,740,260,1135,922,455,1129,249,250,270
693,307,331,310,332,259,270,327,305,689,306
567,331,13,292,509,213,157,1014,485,316,844
828,898,1022,253,408,724,919,268,880,113,292
786,900,1039,207,584,214,51,403,523,190,83
276,331,1134,1059,236,295,405,345,1142,689,1093
419,1014,319,519,302,879,528,644,192,9,525
133,310,259,937,270,323,307,313,879,333,327
244,308,1208,1411,21,476,1134,303,413,116,854
500,844,334,221,1073,875,249,26,396,293,763
358,922,107,740,14,936,19,744,126,253,1007
851,993,324,338,218,184,1093,447,1118,101,160
123,1007,274,528,124,1,302,9,515,517,1014
421,521,518,48,192,482,285,166,23,357,514
389,165,1014,13,522,1101,166,709,490,631,673
755,259,990,892,294,328,319,1296,303,682,313
268,900,1134,303,1240,345,754,93,1059,304,218
741,754,340,292,343,311,709,1048,604,525,347
620,892,749,831,290,17,245,554,365,280,866
496,1007,847,924,45,823,285,171,408,813,455
351,887,347,346,682,271,906,262,898,754,331
570,288,245,340,343,313,306,321,302,538,326
726,305,327,887,898,1176,344,331,880,346,896
345,713,306,331,744,274,896,273,319,25,327
894,334,844,744,1451,1197,1014,137,995,13,1160
643,331,307,164,447,250,993,227,305,431,218
85,900,306,1451,949,13,747,601,522,525,116
932,331,157,900,134,316,83,673,213,509,1134
834,538,327,1012,301,321,323,346,331,508,298
190,538,321,294,328,1012,990,682,292,508,286
513,288,305,345,255,327,304,900,268,340,303
329,1014,334,647,292,707,321,510,856,13,507
846,295,331,1012,961,152,306,522,162,628,606
410,292,754,326,682,304,895,990,321,937,333
734,306,310,259,498,270,331,515,173,699,327
346,924,307,628,823,109,993,226,250,227,101
622,443,218,234,673,200,436,55,186,411,448
33,307,340,347,264,324,331,268,751,333,674
815,8,603,510,709,197,507,135,1101,509,451
261,323,307,332,343,321,327,937,458,331,310
581,285,847,286,538,124,268,410,303,249,880
883,1134,447,1142,844,150,249,653,289,963,206
396,924,813,311,682,340,761,319,905,347,255
359,748,259,924,628,476,288,25,258,302,327
893,310,270,259,332,307,689,289,331,323,327
777,754,1149,900,308,156,1411,264,602,234,218
675,311,319,302,136,340,313,681,1050,661,902
522,306,681,307,302,522,331,874,513,902,193
407,347,340,136,178,900,673,156,83,425,331
518,343,458,340,321,322,538,323,277,1012,108
162,924,823,109,307,288,476,748,813,847,250
199,249,879,333,292,1014,303,325,682,334,937
320,225,280,409,993,218,338,17,748,975,118
417,679,1048,249,225,596,409,1210,1073,413,436
9,306,310,331,749,689,312,245,307,270,1296
826,225,156,218,409,27,379,300,338,500,841
902,521,518,192,932,98,357,1,285,511,474
661,98,173,127,182,23,295,187,423,228,83
477,1048,538,596,277,535,934,872,278,370,126
773,924,823,847,1007,464,813,972,1135,251,455
680,922,847,410,259,123,270,301,289,310,319
809,245,343,326,321,294,538,288,754,292,1025
825,411,975,109,343,108,458,129,1025,287,934
175,306,307,331,902,302,520,305,168,288,83
752,309,262,354,311,268,319,750,310,752,264
169,343,492,319,306,313,302,340,681,321,430
206,305,307,327,331,332,268,344,347,887,316
592,331,10,673,295,1059,813,1142,310,39,206
334,713,744,295,10,961,487,1451,277,694,334
545,892,17,748,304,993,665,554,21,449,946
119,311,319,347,340,642,136,713,425,107,905
222,280,554,596,304,690,303,900,225,553,21
610,900,724,189,136,949,1134,207,747,316,303
707,713,744,896,292,319,1451,1160,14,107,538
105,306,898,242,538,887,344,346,305,340,880
762,249,259,922,410,880,879,14,1022,253,45
535,754,601,1134,116,1017,292,461,433,315,510
524,1073,45,844,26,81,171,249,770,429,251
234,1098,664,249,60,608,855,466,509,482,223
461,538,288,286,268,319,301,303,682,302,346
767,663,525,513,234,156,166,482,872,175,238
294,322,682,1059,1048,340,813,847,476,1067,286
23,306,192,498,521,310,48,647,507,494,462
306,538,1152,221,242,937,334,898,289,297,293
689,476,932,628,934,126,866,535,294,742,975
717,538,1059,346,292,321,898,682,906,277,345
363,1134,1059,823,993,268,1093,218,436,847,751
655,306,396,639,295,331,855,961,522,647,493
55,294,328,326,237,302,300,990,879,100,315
820,292,682,990,538,322,286,294,319,326,321
286,1134,1115,1142,1011,461,993,649,1059,636,963
253,245,892,306,510,749,674,315,241,48,612
157,713,220,744,740,259,922,846,19,538,1033
718,245,343,458,294,326,895,315,313,328,323
864,900,345,25,924,255,692,340,425,1047,699
68,879,748,249,259,410,333,118,742,260,328
147,347,331,343,307,340,754,321,264,458,313
768,990,304,292,754,340,294,682,690,326,678
208,319,286,311,127,318,136,100,1,107,9
94,673,844,10,770,735,1059,1101,405,778,941
311,241,1098,207,157,1170,189,1134,114,381,607
466,748,307,250,62,101,628,164,230,289,227
658,411,975,1007,129,109,26,521,108,285,820
212,1007,45,455,924,274,107,1,847,285,922
128,510,371,554,51,866,196,707,8,756,116
370,879,292,1014,319,310,339,192,315,509,604
782,1134,271,303,354,690,895,309,268,259,689
879,538,294,321,328,990,1012,288,508,282,471
446,538,308,880,937,303,116,113,1152,898,294
188,307,866,343,323,331,222,939,25,245,230
553,48,261,192,1098,157,83,498,306,177,651
450,331,713,295,896,941,345,10,744,778,273
61,937,343,681,307,306,321,245,674,331,874
127,307,331,306,332,327,305,896,886,689,323
425,303,249,993,289,1134,270,151,268,150,447
635,880,305,344,306,288,259,896,887,319,316
816,358,678,879,225,748,299,665,690,895,118
431,538,990,326,321,292,288,111,937,15,302
14,331,295,305,306,327,896,961,297,10,307
117,259,748,993,892,553,554,332,73,255,303
486,682,319,292,322,310,875,922,879,410,270
93,937,990,932,294,880,285,538,328,535,866
624,538,1059,682,340,301,1012,277,895,322,346
201,295,116,601,522,602,1411,707,433,856,516
849,892,748,756,328,554,294,290,358,849,259
137,245,866,975,763,984,147,458,674,358,343
240,331,343,288,674,458,321,984,306,327,264
40,319,292,682,311,301,347,538,286,340,690
215,261,879,177,379,48,520,1098,178,705,300
438,259,294,990,328,220,322,323,763,749,756
904,303,259,304,690,21,553,900,740,1039,892
562,136,169,207,724,83,665,45,403,214,94
379,306,192,498,48,331,633,229,705,604,462
183,924,724,214,189,663,136,152,305,317,673
924,331,310,507,845,306,192,274,276,307,515
558,922,303,259,740,880,410,249,1,278,14
2,713,319,538,744,301,896,327,922,107,292
507,332,304,323,307,327,895,331,303,326,272
744,554,487,303,259,892,740,707,116,949,690
801,327,306,305,319,331,346,269,316,310,887
49,455,820,823,1007,285,24,924,1135,411,250
854,26,1007,248,45,845,274,844,10,1014,1073
13,1134,1098,1093,447,331,262,431,948,653,218
574,305,880,259,306,332,327,886,309,303,270
722,340,538,301,924,1007,813,288,327,319,331
341,879,937,674,260,321,322,333,324,682,873
795,724,189,936,900,747,303,408,126,1240,44
898,749,304,306,326,245,321,315,271,288,294
150,307,823,813,924,847,109,411,1007,323,276
936,922,744,538,277,334,1067,713,123,682,1152
838,303,107,319,14,690,286,949,269,310,64
940,331,307,310,289,58,327,183,187,306,182
271,306,340,331,343,507,319,492,313,165,1451
517,410,924,281,274,922,742,248,934,471,455
842,332,305,748,327,344,1176,331,880,674,288
130,823,924,993,636,410,561,1401,847,813,107
920,305,307,327,344,331,332,880,306,887,886
897,310,338,307,742,993,229,845,554,477,380
37,332,305,303,327,1134,307,331,304,164,748
82,305,331,902,262,250,189,152,288,268,924
569,538,255,922,823,123,924,476,847,410,1007
384,309,304,892,690,312,354,332,315,326,288
448,880,306,316,312,887,346,898,242,937,269
324,922,25,742,343,274,281,744,257,328,455
413,259,294,328,310,937,333,302,334,7,293
731,339,319,14,45,879,292,949,1014,311,248
356,306,305,262,331,887,347,288,750,310,268
887,51,554,924,401,229,576,281,217,231,846
74,754,292,288,347,682,321,268,538,304,286
725,538,922,321,1007,323,744,274,302,294,25
917,922,744,274,455,1007,713,281,126,259,19
749,343,458,340,500,673,331,229,217,405,347
671,748,1,1028,476,25,740,24,148,993,126
833,1483,674,522,331,1118,324,482,898,295,48
403,975,343,458,245,411,984,109,294,1012,276
195,303,61,487,270,896,305,382,1134,1170,740
17,288,303,268,476,286,255,258,302,538,100
393,993,553,225,1401,280,636,145,17,1028,410
538,1,45,748,118,181,679,96,932,421,249
906,922,538,823,476,1152,847,123,303,126,255
149,887,898,288,754,344,264,347,262,880,242
383,311,319,673,646,644,136,347,492,813,430
165,259,748,993,310,270,249,742,892,333,410
596,319,292,306,302,311,321,269,343,315,347
628,347,307,331,332,312,309,754,674,343,264
603,1134,270,303,331,310,305,272,262,689,316
584,288,258,302,476,294,117,111,748,268,100
604,975,249,260,358,413,325,748,476,982,17
666,844,1073,26,334,221,1014,10,124,137,13
531,347,319,682,310,354,879,750,271,292,311
230,879,322,421,131,845,604,507,192,756,500
472,225,280,291,993,636,1016,322,762,845,31
525,682,538,255,319,301,323,294,990,328,846
171,880,305,319,306,344,288,311,347,887,316
678,307,109,924,288,748,302,411,323,476,813
79,310,270,319,879,682,689,331,323,307,750
404,892,304,309,354,312,315,271,750,326,749
8,306,310,270,520,498,259,83,615,1098,1126
771,259,270,303,310,249,487,14,253,269,740
330,900,304,303,1134,380,315,554,713,196,312
549,294,245,306,302,259,328,323,313,222,25
39,305,327,880,306,344,331,887,307,303,332
703,748,476,358,763,922,742,289,147,325,249
901,554,51,280,892,900,225,102,403,233,385
70,109,226,156,924,98,234,522,513,518,58
290,924,214,780,724,126,255,1084,946,107,561
51,259,924,1063,740,305,449,902,455,714,270
100,754,292,326,895,304,674,690,271,321,749
237,493,511,19,285,205,519,1014,214,1,153
916,1134,116,900,303,601,1149,747,1170,487,1411
301,338,310,845,322,307,225,477,379,229,879
885,900,754,304,315,303,690,116,207,340,218
257,242,887,898,346,306,538,331,297,295,896
714,303,304,237,259,288,268,111,410,302,1
339,331,340,343,673,492,295,522,306,405,458
143,880,305,1062,262,303,344,887,886,1176,898
540,538,1059,1067,277,321,108,458,287,823,1012
227,538,898,906,476,919,1152,346,1059,277,887
454,306,71,241,173,699,498,228,168,73,95
778,260,261,249,879,386,1098,679,23,674,748
283,679,521,98,975,156,756,12,511,684,82
315,189,1098,408,114,724,83,213,238,134,268
462,245,306,937,674,879,343,294,323,1296,302
934,306,245,1483,549,969,399,241,152,1149,71
24,879,845,322,274,257,319,302,181,281,310
113,748,823,476,628,455,922,250,993,259,742
228,754,308,292,116,326,315,1014,1149,690,303
374,1401,81,225,280,596,51,410,1115,248,107
875,1098,249,653,157,509,315,114,207,664,223
491,1014,9,1048,292,525,13,642,70,98,1101
506,433,92,507,461,192,163,4,23,421,42
58,295,13,10,522,285,961,242,517,855,1009
366,900,1208,308,264,1240,1134,754,345,780,1149
636,924,307,323,327,628,871,343,1007,126,620
211,880,285,19,1007,1,874,126,1084,932,924
829,285,1007,137,1014,1009,14,221,334,10,744
859,922,744,682,334,847,538,292,123,713,1011
308,295,10,727,1059,61,273,844,792,13,606
18,295,961,61,10,297,428,517,855,20,606
653,521,306,866,58,507,748,614,98,23,222
798,306,554,343,245,633,307,892,332,229,1050
65,900,207,303,690,1134,304,724,1039,21,354
861,880,19,306,724,493,1084,14,269,528,297
554,281,866,471,274,25,421,455,1,257,763
929,45,1007,924,1,285,191,214,274,357,302
369,262,898,1098,674,324,242,1411,288,264,1483
788,306,181,173,294,507,222,127,168,96,196
482,990,322,343,292,321,326,682,1025,302,678
453,993,259,270,250,748,289,164,303,62,260
288,522,288,898,152,114,1483,295,549,303,265
205,288,268,303,271,898,304,751,286,302,887
97,522,525,513,234,48,518,156,602,166,530
494,274,281,1,421,922,248,410,455,275,124
811,990,326,754,937,292,358,749,303,245,328
791,303,304,270,271,749,333,937,268,310,272
434,538,682,322,323,321,301,340,895,333,458
692,281,756,630,596,535,294,990,274,117,679
785,748,307,302,288,259,323,327,222,310,258
566,295,331,522,58,396,961,306,1012,305,327
700,306,302,294,269,515,1,100,313,127,222
187,554,421,1039,449,51,892,259,153,207,679
45,322,249,879,975,895,333,129,763,875,324
733,922,278,123,325,740,476,410,1152,823,249
134,879,333,288,322,328,302,324,358,118,268
418,898,264,268,674,754,751,324,271,262,326
503,724,305,136,972,189,317,107,428,382,316
808,754,303,308,304,898,326,315,292,271,288
245,1025,934,343,717,358,932,678,458,106,930
62,1134,303,447,676,1170,1142,253,316,653,487
426,261,644,1098,615,45,207,604,736,190,493
850,306,245,510,604,603,192,523,196,135,483
122,663,924,264,1007,673,340,872,109,813,525
259,521,285,192,855,517,528,518,493,498,820
824,303,880,748,304,358,1062,892,271,333,249
269,10,26,844,1007,277,1073,744,629,334,1014
740,292,538,286,303,690,754,269,268,880,872
275,521,23,445,58,1098,748,932,518,357,96
621,409,993,156,924,118,679,823,470,225,98
202,748,302,880,1,259,118,268,100,286,258
721,310,319,354,347,879,477,554,178,315,136
571,285,1007,1,302,100,286,274,269,515,276
344,295,345,10,1012,538,346,340,13,522,405
640,900,107,823,1134,924,1240,136,724,561,255
1,924,455,823,1007,813,517,1135,20,250,24
756,679,190,261,45,589,436,754,136,665,496
912,949,872,1149,525,718,190,116,638,513,900
388,748,324,271,27,338,304,751,358,674,268
510,538,304,749,303,321,294,328,895,245,937
191,311,319,347,305,306,292,136,269,880,346
328,306,295,1012,25,222,327,305,283,628,713
923,476,538,303,278,1012,1048,895,535,596,111
847,866,281,371,521,507,284,274,763,471,744
589,749,306,312,937,315,245,292,303,326,754
735,538,268,303,898,346,255,302,292,340,269
352,45,260,250,1135,141,249,1098,408,464,748
509,748,892,259,309,879,300,310,379,306,313
387,295,522,516,629,639,521,602,960,558,961
262,315,354,312,304,690,900,892,207,1134,157
837,538,922,476,126,25,123,1012,276,1152,508
933,924,189,109,288,184,431,268,141,226,83
580,259,1028,926,748,922,281,934,740,597,924
884,303,249,408,936,253,189,1098,1170,114,21
32,538,321,303,937,294,898,242,302,327,286
397,307,331,924,813,1007,673,430,305,109,518
892,340,109,673,156,443,343,1118,234,331,448
428,304,303,271,1134,332,895,898,327,346,689
161,674,288,302,245,324,748,294,333,258,181
196,307,924,331,813,305,327,673,288,823,902
519,321,108,411,343,129,538,873,1007,1008,1025
323,303,21,116,1134,1170,854,936,487,304,278
497,553,748,993,423,1039,403,17,21,73,946
416,295,240,1059,236,844,151,10,864,1134,448
732,937,321,879,895,674,333,326,322,749,682
905,538,895,288,682,340,321,1059,754,324,333
